4
90
80 80
18 58 1
21 52 1
19 46 1
13 46 1
16 38 1
11 36 1
11 58 1
14 42 1
10 42 1
10 41 1
10 44 1
11 54 1
9 57 1
10 52 1
21 41 1
8 46 1
12 38 1
8 35 1
10 38 1
13 49 1
8 46 1
20 55 1
21 53 1
11 48 1
11 53 1
14 57 1
9 49 1
16 39 1
10 35 1
13 51 1
39 14 4
38 9 4
29 20 4
38 11 4
27 21 4
41 24 4
29 23 4
36 10 4
37 19 4
29 10 4
35 26 4
36 20 4
35 23 4
34 18 4
37 24 4
38 56 2
37 60 2
47 54 2
45 48 2
44 60 2
39 51 2
43 52 2
38 61 2
45 63 2
44 55 2
44 47 2
41 66 2
40 55 2
49 52 2
44 53 2
59 30 3
61 36 3
65 34 3
61 38 3
66 25 3
58 39 3
66 39 3
68 30 3
61 28 3
62 25 3
62 30 3
64 20 3
59 24 4
63 28 3
61 30 3
69 24 3
69 32 3
71 30 3
70 38 3
57 39 3
58 43 3
66 28 3
64 21 3
64 39 3
63 41 3
67 44 3
63 29 3
61 21 4
65 43 3
63 24 3
