TIME:         | 1| 2| 3| 4| 5| 6| 7| 8| 9|10|11|12|13|14|15|
--------------------------------------------------------------------------------------------------------------------------------
processor 1:  | 4| 3| 6|12|14| x| x| x| x| x| x| x| x| x| x|
processor 2:  | 1| 5| 8|11| x| x| x| x| x| x| x| x| x| x| x|
processor 3:  | 7| 2|10|13| x| x| x| x| x| x| x| x| x| x| x|
processor 4:  | 9| x| x|15| x| x| x| x| x| x| x| x| x| x| x|
processor 5:  | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 6:  | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 7:  | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 8:  | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 9:  | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 10: | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 11: | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 12: | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 13: | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 14: | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
processor 15: | x| x| x| x| x| x| x| x| x| x| x| x| x| x| x|
